"Participant","Condition","WPM","Duration to First Key (sec)","Duration","Total Error Rate","Not Corrected Error Rate","Corrected Error Rate","First Key Correct"
1,"1 Reality Baseline",110.446720242272,1422,3487.71428571429,4.60982000455685,0.178571428571429,4.43124857598542,1
1,"4 VR Full Blending",102.12939263747,2306.71428571429,3633.5,1.60492124777839,0.198412698412699,1.40650854936569,1
1,"2 VR No Blending",98.2333340165632,2934.85714285714,3658.35714285714,5.40436807670869,0.37593984962406,5.02842822708463,0.928571428571429
1,"3 VR Partial Blending",104.311011750638,2276.71428571429,3853.07142857143,3.54047679677931,0.833333333333333,2.70714346344598,0.857142857142857
2,"1 Reality Baseline",58.8869390851813,1332.57142857143,6439.42857142857,5.6957559666538,0,5.6957559666538,0.857142857142857
2,"4 VR Full Blending",36.2966266143488,2723.42857142857,10921.0714285714,19.3763871732828,0.45578231292517,18.9206048603576,0.857142857142857
2,"2 VR No Blending",32.0095472784554,1942.07142857143,11900.8571428571,18.5154873915228,0.669642857142857,17.8458445343799,0.642857142857143
2,"3 VR Partial Blending",43.7850855177927,2020.14285714286,9246.5,14.2110723604107,0.246305418719212,13.9647669416915,0.928571428571429
3,"1 Reality Baseline",57.9113207857661,1339.35714285714,6504.21428571429,8.77578216043193,0.178571428571429,8.5972107318605,1
3,"4 VR Full Blending",46.1491718718543,3008.57142857143,9123.85714285714,10.3884418391451,0.366300366300366,10.0221414728447,0.857142857142857
3,"2 VR No Blending",33.1353429710485,2277.57142857143,11207.5714285714,24.5878070905291,0.306168979219595,24.2816381113095,0.214285714285714
3,"3 VR Partial Blending",36.6173674290217,2634.28571428571,11389.1428571429,17.2097277320753,0.727809551338964,16.4819181807364,0.928571428571429
4,"1 Reality Baseline",59.7830281819161,2536.28571428571,5977.07142857143,7.01277673375294,0.198412698412699,6.81436403534024,1
4,"4 VR Full Blending",42.2158697990898,3970.42857142857,9365.64285714286,8.45800774554946,0.791940339354133,7.66606740619533,0.928571428571429
4,"2 VR No Blending",32.9405969156251,3052,15688,21.0859381420194,0.0992063492063493,20.986731792813,0.5
4,"3 VR Partial Blending",50.942927592314,3484.57142857143,6916.42857142857,6.20138448400009,0,6.20138448400009,1
5,"1 Reality Baseline",62.7836284792957,2595,6221.21428571429,7.07177418364318,1.34554402031606,5.72623016332712,0.928571428571429
5,"4 VR Full Blending",26.0133166576058,5226.07142857143,14878,8.70083812727688,1.82563071768382,6.87520740959306,1
5,"2 VR No Blending",7.90509395614397,5942.5,61188,55.7316507763076,0.885604178227989,54.8460465980796,0.285714285714286
5,"3 VR Partial Blending",38.2531604154274,4579.78571428571,9252,1.51455026455026,0.264550264550264,1.25,1
6,"1 Reality Baseline",42.4725590384415,2722.21428571429,9420.14285714286,4.70025318697046,1.03174603174603,3.66850715522442,1
6,"4 VR Full Blending",30.3627603111724,4067.07142857143,12633.9285714286,4.49781262489828,1.46771692238878,3.0300957025095,1
6,"2 VR No Blending",9.42779403523093,2851.64285714286,39933.9285714286,33.427363597071,0.285714285714286,33.1416493113567,0.357142857142857
6,"3 VR Partial Blending",27.7958510262126,3854.64285714286,13741.4285714286,6.67046469811921,0.992063492063492,5.67840120605573,1
7,"1 Reality Baseline",59.268870480052,1434.14285714286,6372.64285714286,2.96375860285635,0.170068027210884,2.79369057564546,0.928571428571429
7,"4 VR Full Blending",34.673438074213,3068.78571428571,10604.7857142857,3.90617402866952,0.413564929693961,3.49260909897556,1
7,"2 VR No Blending",18.7550418693423,2076.07142857143,19306.1428571429,21.7733742624989,0,21.7733742624989,0.642857142857143
7,"3 VR Partial Blending",32.8486523367661,3559.07142857143,11897.2857142857,4.1385152476238,0.462695199537305,3.6758200480865,1
8,"1 Reality Baseline",46.6249260907404,2637.64285714286,7532.5,4.14913858263612,1.22448979591836,2.92464878671775,1
8,"4 VR Full Blending",17.9570727040863,4589.92857142857,23638.6428571429,20.9206912876,0.223214285714286,20.6974770018857,1
8,"2 VR No Blending",13.775446382801,4226.5,26852.2142857143,39.2276533001618,0.357142857142857,38.870510443019,0.357142857142857
8,"3 VR Partial Blending",25.4718381771024,4213.14285714286,14952.5714285714,14.0757533154953,0.193050193050193,13.8827031224451,0.928571428571429
9,"1 Reality Baseline",60.3688431405701,1662.57142857143,5912.42857142857,1.73022744451316,0.672713529856386,1.05751391465677,1
9,"4 VR Full Blending",20.8387531764875,3841,17532.4285714286,8.30532338951474,1.76062762269659,6.54469576681815,1
9,"2 VR No Blending",5.24661651421873,9017,76768.5,53.4132171387074,0,53.4132171387074,0.5
9,"3 VR Partial Blending",27.1977670317302,3264.85714285714,12996.0714285714,4.39758397732536,1.17858075832214,3.21900321900322,1
10,"1 Reality Baseline",71.5065652156716,2500.5,5154.71428571429,2.95199160745379,0,2.95199160745379,1
10,"4 VR Full Blending",45.914347079133,3653.85714285714,8533.21428571429,11.6957492839461,0.928588607160036,10.7671606767861,1
10,"2 VR No Blending",32.9121862817073,2872.42857142857,13067.5,15.4051734572107,0,15.4051734572107,0.5
10,"3 VR Partial Blending",43.1220294240929,3715.07142857143,8846.28571428571,9.55711508774974,1.31771589505445,8.23939919269528,0.857142857142857
11,"1 Reality Baseline",57.8514797156602,1820.64285714286,6215.57142857143,11.8811567954077,6.29997225085661,5.58118454455107,1
11,"4 VR Full Blending",37.499583343519,2848.28571428571,10494.2142857143,12.4556911724392,3.35816801423279,9.09752315820639,0.857142857142857
11,"2 VR No Blending",27.0207482947577,2393.5,18655.5,23.6926447953221,5.65938746258064,18.0332573327415,0.357142857142857
11,"3 VR Partial Blending",34.2078593075941,2793.64285714286,14846.7857142857,21.1978586606456,5.7421097590702,15.4557489015754,0.5
12,"1 Reality Baseline",71.7684740004361,1578.85714285714,4945.28571428571,3.30845575315621,1.80193615907902,1.5065195940772,1
12,"4 VR Full Blending",33.583723746966,3195.78571428571,10779.7857142857,17.6365796829127,14.488563726606,3.14801595630668,0.857142857142857
12,"2 VR No Blending",5.38199839771279,2309,73297,55.684500393391,0,55.684500393391,0
12,"3 VR Partial Blending",38.43256446034,3419.71428571429,10495.4285714286,7.69649384798642,2.46720333929636,5.22929050869006,1
13,"1 Reality Baseline",48.4408230559834,1618.07142857143,7625.14285714286,0.562169312169312,0.264550264550264,0.297619047619048,1
13,"4 VR Full Blending",20.2603835359304,4196.28571428571,19053.5,8.03936591358952,2.08028083028083,5.95908508330868,0.928571428571429
13,"2 VR No Blending",20.6459814158028,2339.85714285714,19436.6428571429,18.4312795741072,0,18.4312795741072,0.5
13,"3 VR Partial Blending",27.085895703299,4225.42857142857,13569.7857142857,6.9998176354629,1.81160434393193,5.18821329153097,0.928571428571429
14,"1 Reality Baseline",49.8181753780518,2246.42857142857,6669,1.39473684210526,0.285714285714286,1.10902255639098,1
14,"4 VR Full Blending",36.7231056598302,3268.28571428571,10809.7857142857,1.95752450936783,0,1.95752450936783,1
14,"2 VR No Blending",14.3787518553482,1986.78571428571,26972.5,29.3160605283991,0.645840645840646,28.6702198825585,0.928571428571429
14,"3 VR Partial Blending",29.3928046412671,3558.92857142857,12306.4285714286,4.75100139324277,0.396825396825397,4.35417599641738,0.928571428571429
15,"1 Reality Baseline",32.5996198342294,1294.64285714286,10291.6428571429,6.52044581887804,0,6.52044581887804,0.928571428571429
15,"4 VR Full Blending",18.9458692048481,2012.35714285714,20770.5714285714,26.3640962320485,0,26.3640962320485,0.428571428571429
15,"2 VR No Blending",14.9017933068497,2100.42857142857,27924.0714285714,35.1216356927054,0.198412698412699,34.9232229942927,0.714285714285714
15,"3 VR Partial Blending",18.5832599140478,2074.78571428571,20384,21.4094313330175,0.255102040816326,21.1543292922011,0.5
16,"1 Reality Baseline",52.3285740618648,1945.5,6891.85714285714,0.898484393757503,0.210084033613446,0.688400360144058,1
16,"4 VR Full Blending",36.4478798643677,2751,9804.57142857143,2.29383533667872,0.174216027874564,2.11961930880416,1
16,"2 VR No Blending",10.885904982454,1589.92857142857,39598.6428571429,42.9776492063232,0.235621521335807,42.7420276849874,0.428571428571429
16,"3 VR Partial Blending",37.5256245415352,2618.5,9578.35714285714,3.59588685208307,0.246305418719212,3.34958143336386,1
